ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,MonitoringLocationIdentifier,SampleCollectionMethod/MethodIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ProviderName
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Oxygen,Dissolved,7.6,mg/l,,,,NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,pH,Total,8.6,std units,,,,NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,"Temperature, water",,20.7,deg C,,,,NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Ammonia and ammonium,Dissolved,0.103,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Ammonia and ammonium,Dissolved,0.080,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,,,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Nitrite,Dissolved,,,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Hydrogen ion,Total,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204088,1992-07-23,14:10:00,CDT,,,,1.5,feet,,USGS-05427968,USGS,Nitrite,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Oxygen,Dissolved,0.2,mg/l,,,,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,pH,Total,7.6,std units,,,,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,"Temperature, water",,9.9,deg C,,,,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Ammonia and ammonium,Dissolved,1.07,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Ammonia and ammonium,Dissolved,0.830,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Nitrate,Dissolved,0.443,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Nitrate,Dissolved,0.100,mg/l as N,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.140,mg/l as N,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Nitrite,Dissolved,0.131,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Nitrite,Dissolved,0.040,mg/l as N,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99204089,1992-07-23,14:15:00,CDT,,,,80.5,feet,,USGS-05427968,USGS,Hydrogen ion,Total,0.00003,mg/l,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,pH,Total,8.6,std units,,,,NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,"Temperature, water",,12.5,deg C,,,,NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Ammonia and ammonium,Dissolved,0.077,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Ammonia and ammonium,Dissolved,0.060,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Nitrate,Dissolved,1.28,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Nitrate,Dissolved,0.290,mg/l as N,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.310,mg/l as N,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Nitrite,Dissolved,0.066,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Nitrite,Dissolved,0.020,mg/l as N,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99202614,1992-05-08,11:30:00,CDT,,,,,,,USGS-05428000,30,Hydrogen ion,Total,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,pH,Total,8.5,std units,,,,NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,"Temperature, water",,23.5,deg C,,,,NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.064,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.050,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,,,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Hydrogen ion,Total,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204032,1992-07-21,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,pH,Total,8.5,std units,,,,NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,"Temperature, water",,22.5,deg C,,,,NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.039,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.030,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,,,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Hydrogen ion,Total,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99204943,1992-08-21,09:20:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,pH,Total,8.6,std units,,,,NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,"Temperature, water",,13.5,deg C,,,,NWIS
